period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
169,1519.652,2005,4,3,14,1,24.5035818934779,6022.79451856445,811.508129039289,79,1468.43,11480.5966190739,169,5.13579843705026,79
170,1340.341,2005,4,10,15,0,24.457334132572,5955.10236845443,805.054506931475,79,1375.09,11707.6269571666,170,5.14166355650266,79
171,1394.938,2005,4,17,16,1,24.1773555082325,5943.66897976389,882.203533157827,80,1404.51,11941.3742614499,171,5.14749447681345,80
172,1201.78,2005,4,24,17,0,24.1553285558687,5916.62327523545,924.120109276993,79,1275.53,12022.7668353049,172,5.15329159449778,79
173,1307.709,2005,5,1,18,1,24.0184788458657,5919.91788788559,853.454947668333,78,1267.77,12088.2601517744,173,5.15905529921453,78
174,1293.007,2005,5,8,19,0,23.9644471371412,5872.82643093654,984.00607481913,79,956.05,11835.484136597,174,5.16478597392351,79
175,1302.206,2005,5,15,20,1,23.792913065776,5864.03268404072,1163.83984399642,77,924.12,11576.0557229373,175,5.17048399503815,77
176,1246.992,2005,5,22,21,0,24.1131434817486,5817.9846869654,1071.03003278214,78,1084.71,11503.1601506436,176,5.17614973257383,78
177,1232.973,2005,5,29,22,0,23.8946148161258,5801.21401720495,890.860548495357,77,1090.61,11443.4541355792,177,5.18178355029209,77
178,1522.092,2005,6,5,23,1,24.0346035477093,5794.29070752654,771.594579701103,76,1190.56,11489.6687220213,178,5.18738580584075,76
179,1205.71,2005,6,12,24,0,23.8591562170407,5741.83336199614,689.864079199209,75,1045.33,11386.0318498192,179,5.19295685089021,75
180,1353.595,2005,6,19,25,1,24.0179431266372,5728.14001716886,839.557451653665,76,1237.49,11484.9186648372,180,5.19849703126583,76
181,1319.845,2005,6,26,26,0,23.5052565164382,5645.10932665558,1088.07112349352,76,992.96,11329.3867983535,181,5.2040066870768,76
182,1613.722,2005,7,3,27,1,23.477382131972,5647.50538044353,1162.38239123676,76,1422.44,11618.8881185182,182,5.20948615284142,76
183,1389.07,2005,7,10,28,0,23.8479386853912,5513.60956817472,787.26721442379,77,998.86,11455.8593066663,183,5.21493575760899,77
184,1488.207,2005,7,17,29,1,23.699887153585,5422.63242178465,989.553672225787,77,1077.4,11387.6733759997,184,5.22035582507832,77
185,1286.221,2005,7,24,30,0,23.8448511741504,5399.55500307092,754.907196173795,76,812.49,11061.3960383997,185,5.2257466737132,76
186,1479.724,2005,7,31,31,1,23.5364361060706,5407.75628219467,882.927152636485,77,1287.5,11242.7564345598,186,5.23110861685459,77
187,1513.679,2005,8,7,32,0,23.7333389258151,5350.60256589644,850.723623937482,77,1014.2,11132.6807911038,187,5.23644196282995,77
